country,ymabs,sb_rate,comp3_rate,n,cohort,id
DK,24202,0.09090909090909091,0.5818181818181818,55,24191,6
DK,24203,0.16289592760180996,0.5294117647058824,221,24191,6
DK,24204,0.22909698996655517,0.5367892976588629,598,24191,6
DK,24205,0.17662337662337663,0.6233766233766234,385,24191,6
DK,24206,0.1424581005586592,0.7094972067039106,358,24191,6
DK,24207,0.14150943396226415,0.7389937106918238,318,24191,6
DK,24208,0.14864864864864866,0.6621621621621622,74,24191,6
DK,24209,0.24210526315789474,0.5605263157894737,380,24191,6
DK,24210,0.11928934010152284,0.6776649746192893,394,24191,6
DK,24211,0.020833333333333332,0.9166666666666666,48,24191,6
DK,24212,0.1509433962264151,0.6698113207547169,318,24191,6
DK,24213,0.23410852713178296,0.5643410852713179,645,24191,6
DK,24214,0.34063526834611174,0.4534501642935378,913,24191,6
DK,24215,0.17365269461077845,0.6287425149700598,668,24191,6
DK,24216,0.18351063829787234,0.5146276595744681,752,24191,6
DK,24217,0.12076271186440678,0.7330508474576272,472,24191,6
DK,24218,0.08940397350993377,0.7152317880794702,302,24191,6
DK,24219,0.1245136186770428,0.7412451361867705,514,24191,6
DK,24220,0.0856453558504222,0.7659831121833535,829,24191,6
DK,24221,0.1624548736462094,0.6173285198555957,277,24191,6
DK,24222,0.12367021276595745,0.7539893617021277,752,24191,6
DK,24223,0.17603911980440098,0.6112469437652812,409,24191,6
DK,24224,0.20962199312714777,0.6048109965635738,291,24191,6
DK,24225,0.23956723338485317,0.5533230293663061,647,24191,6
DK,24226,0.24462809917355371,0.5355371900826447,605,24191,6
DK,24227,0.2504816955684008,0.49710982658959535,519,24191,6
DK,24228,0.10783487784330244,0.7304128053917439,1187,24191,6
DK,24229,0.21548117154811716,0.6652719665271967,478,24191,6
DK,24230,0.08004778972520908,0.8315412186379928,837,24191,6
DK,24231,0.1582089552238806,0.7164179104477612,335,24191,6
DK,24232,0.11988304093567251,0.7470760233918129,684,24191,6
DK,24233,0.1625,0.6071428571428571,560,24191,6
DK,24234,0.08812260536398467,0.7260536398467433,522,24191,6
DK,24235,0.16634050880626222,0.6457925636007827,511,24191,6
DK,24236,0.22789115646258504,0.6224489795918368,294,24191,6
DK,24237,0.4107142857142857,0.375,56,24191,6
DK,24238,0.1994949494949495,0.6262626262626263,396,24191,6
DK,24240,0.22955145118733508,0.5224274406332454,758,24191,6
DK,24241,0.17755443886097153,0.6348408710217756,597,24191,6
DK,24242,0.23728813559322035,0.4851694915254237,472,24191,6
DK,24243,0.1602787456445993,0.6445993031358885,287,24191,6
DK,24244,0.17473118279569894,0.6129032258064516,372,24191,6
DK,24245,0.13277310924369748,0.6621848739495798,595,24191,6
DK,24246,0.12779552715654952,0.7795527156549521,626,24191,6
DK,24247,0.09113300492610837,0.8078817733990148,406,24191,6
DK,24248,0.14974182444061962,0.685025817555938,581,24191,6
DK,24249,0.29846153846153844,0.49846153846153846,650,24191,6
DK,24250,0.1377672209026128,0.7252573238321457,1263,24191,6
DK,24251,0.27202472952086554,0.4528593508500773,647,24191,6
EE,24183,0.21978021978021978,0.6648351648351648,182,24210,7
EE,24184,0.15934065934065933,0.7252747252747253,182,24210,7
EE,24185,0.15483870967741936,0.5763440860215053,465,24210,7
EE,24186,0.3595505617977528,0.550561797752809,267,24210,7
EE,24187,0.18238993710691823,0.6289308176100629,159,24210,7
EE,24188,0.2743682310469314,0.6173285198555957,277,24210,7
EE,24189,0.1461187214611872,0.7671232876712328,219,24210,7
EE,24190,0.7538461538461538,0.2153846153846154,130,24210,7
EE,24191,0.2760942760942761,0.6565656565656566,297,24210,7
EE,24192,0.1013215859030837,0.8061674008810573,227,24210,7
EE,24193,0.0858085808580858,0.8085808580858086,303,24210,7
EE,24194,0.0707070707070707,0.7828282828282829,198,24210,7
EE,24195,0.10795454545454546,0.8238636363636364,176,24210,7
EE,24196,0.16666666666666666,0.7345679012345679,162,24210,7
EE,24197,0.21739130434782608,0.6521739130434783,230,24210,7
EE,24198,0.2397003745318352,0.6554307116104869,267,24210,7
EE,24199,0.24632352941176472,0.6838235294117647,272,24210,7
EE,24200,0.1005586592178771,0.7821229050279329,179,24210,7
EE,24201,0.15441176470588236,0.7352941176470589,136,24210,7
EE,24202,0.09627329192546584,0.8509316770186336,322,24210,7
EE,24203,0.08985507246376812,0.8434782608695652,345,24210,7
EE,24204,0.21428571428571427,0.72,350,24210,7
EE,24205,0.09944751381215469,0.8232044198895028,362,24210,7
EE,24206,0.09852216748768473,0.7881773399014779,203,24210,7
