nkey,emis_t,n_install,nace,example_eutl,n_contracts,sb_rate,cpv,example_proc,log_emis
GOOGLE IRELAND,136.2,1,63,Google Ireland Limited,204,0.9362745098039216,79,Google Ireland,4.9141243937154115
GR NENTHAL,6471.0,1,35,Grünenthal GmbH,84,0.47619047619047616,33,Grünenthal,8.775085935057266
GRADSKA TOPLANA D O O,14577.777777777777,1,35,Gradska toplana d.o.o.,44,1.0,93,Gradska toplana d.o.o.,9.587253578155906
GRANAROLO,20562.625,2,10,Granarolo SpA,6,0.3333333333333333,15,Granarolo,9.931230386516607
GRAVAUBEL,4285.555555555556,1,42,GRAVAUBEL,8,0.25,44,SA Gravaubel,8.363005473866053
GREENE KING BREWING AND RETAILING,4302.0,1,11,Greene King Brewing and Retailing Ltd,3,0.0,15,Greene King Brewing and Retailing Ltd,8.366835309827675
GREENS,3227.3,1,1.,Greens LTD,7,0.14285714285714285,79,Greens Limited,8.079401153333656
GRIFOLS S A,21948.0,1,35,"Grifols, S.A.",6,0.0,33,Grifols; S.A.,9.996431298178866
GRTGAZ,272094.36666666664,13,49,GRTGAZ,12,0.0,73,GRTGAZ,12.513904221384172
GRUPA AZOTY ZAK ADY AZOTOWE K DZIERZYN SP KA AKCYJNA,1227188.3555555556,2,20,Grupa Azoty Zakłady Azotowe Kędzierzyn Spółka Akcyjna,7,0.7142857142857143,24,Grupa Azoty Zakłady Azotowe Kędzierzyn Spółka Akcyjna,14.020236220921978
GRUPA AZOTY ZAK ADY AZOTOWE PU AWY S A,3591606.477777778,2,20,Grupa Azoty Zakłady Azotowe Puławy S.A.,49,0.8775510204081632,24,Grupa Azoty Zakłady Azotowe „Puławy” S.A.,15.09411014721826
GRUPA AZOTY ZAK ADY CHEMICZNE POLICE S A,1618252.3111111112,5,20,Grupa Azoty Zakłady Chemiczne POLICE S.A.,26,0.7307692307692307,24,Grupa Azoty Zakłady Chemiczne Police S.A.,14.296857304561293
GRUPA LOTOS S A,301823.0,1,35,GRUPA LOTOS S.A.,33,0.5454545454545454,91,Grupa Lotos S.A.,12.617596031822302
GUERRATO,7859.0,1,35,GUERRATO SPA,12,0.08333333333333333,45,Guerrato SpA,8.969414650866176
GULFSTREAM AEROSPACE CORPORATION,415.8333333333333,1,51,Gulfstream Aerospace Corporation,10,0.5,50,Gulfstream Aerospace Corporation,6.030284538957564
GUSTAVE MULLER,6060.333333333333,3,46,GUSTAVE MULLER SAS,22,0.18181818181818182,31,Gustave Muller,8.709520083051164
H RJE NS ENERGI,7620.099999999999,4,63,Härjeåns Energi AB,7,0.0,91,Härjeåns Energi AB,8.938544771954161
H SSLEHOLM MILJ,18949.0,3,35,Hässleholm Miljö AB,9,0.0,90,Hässleholm Miljö AB,9.849506438669614
H YRYTYS,53.0,1,,Höyrytys Oy,6,0.3333333333333333,42,Höyrytys Oy,3.970291913552122
HALBERSTADTWERKE,9653.0,1,35,Halberstadtwerke GmbH,4,0.5,91,Halberstadtwerke GmbH,9.175024026848615
HALLIBURTON,39.0,1,51,HALLIBURTON,7,0.14285714285714285,29,Halliburton,3.6635616461296463
HAM S R O,5053.5,1,10,Hamé s.r.o.,12,1.0,63,Hamé s.r.o.,8.527836351514717
HAMBURGER ENERGIEWERKE,2511851.3,8,35,Hamburger Energiewerke GmbH,20,0.9,93,Hamburger Energiewerke GmbH,14.73653060895821
HAMBURGER HUNG RIA,374078.0416666666,2,17,Hamburger Hungária Kft.,38,0.8421052631578947,90,Hamburger Hungária Kft.,12.832219722186554
HAMMEL FJERNVARME A M B A,13670.222222222223,1,38,Hammel Fjernvarme A M B A,3,0.3333333333333333,90,Hammel Fjernvarme a.m.b.a.,9.52297518578354
HANKKIJA,9423.875,1,10,Hankkija Oy,24,0.0,24,Hankkija Oy,9.15100164179661
HANSEWERK NATUR,42483.925,7,35,HanseWerk Natur GmbH,9,0.4444444444444444,93,Hansewerk Natur GmbH,10.65688104806938
HANSON QUARRY PRODUCTS EUROPE,20216.011904761905,6,8.,Hanson Quarry Products Europe Limited,44,0.022727272727272728,14,Hanson Quarry Products Europe Ltd,9.914230237946068
HEATHROW AIRPORT,27269.555555555555,1,52,Heathrow Airport Limited,16,0.0,63,Heathrow Airport Limited,10.213526177780732
HEIDELBERG MATERIALS,4711218.6,9,23,Heidelberg Materials AG,4,0.0,45,Heidelberg Materials,15.365457158643421
HEIDELBERGER DRUCKMASCHINEN,3466.0,1,28,Heidelberger Druckmaschinen AG,3,0.3333333333333333,42,Heidelberger Druckmaschinen,8.150756470275551
HEIJMANS WEGEN B V,1523.6666666666667,1,23,Heijmans Wegen B.V.,12,0.0,45,Heijmans Wegen B.V.,7.3288749896636345
HEINEKEN ESPA A S A,31921.4,4,11,"Heineken España, S.A.",4,0.0,15,Heineken España; S.A.,10.371031910251062
HEINEKEN UK,45220.77777777778,4,11,Heineken UK Limited,12,0.08333333333333333,15,Heineken UK Ltd,10.719311945546446
HEINZ ITALIA S P A,12278.0,1,10,HEINZ ITALIA S.p.A.,10,0.4,15,Heinz Italia S.p.A.,9.415564321987441
HELEN,3123708.166666667,15,35,Helen Oy,115,0.09565217391304348,93,Helen Oy,14.954531369018149
HELLA KGAA,22258.5,2,35,HELLA GmbH & Co. KGaA,3,0.0,34,Hella KGaA,10.010479237114291
HEP TOPLINARSTVO D O O,566.8333333333334,1,35,HEP-Toplinarstvo d.o.o.,108,1.0,93,HEP-Toplinarstvo d.o.o.,6.340065315779141
HERA,182883.78888888887,11,35,HERA SPA,28,0.14285714285714285,90,HERA SpA,12.116606196710398
HERBA RICEMILLS S L U,6049.0,1,10,"Herba Ricemills, S.L.U.",3,0.0,15,HERBA RICEMILLS S.L.U.,8.707648248106914
HERRFORS,990.575,4,35,Oy Herrfors Ab,20,0.0,93,Oy Herrfors Ab,6.898285582605712
HEWLETT PACKARD ENTERPRISE,105.0,1,51,Hewlett Packard Enterprise,50,0.42,30,Hewlett Packard Enterprise,4.653960350157523
HIGHER KINGS MILL,9046.222222222223,1,17,Higher Kings Mill Limited,17,0.11764705882352941,37,Higher Kings Mill Limited,9.110102515535548
HILCONA,236.33333333333334,1,10,Hilcona AG,9,0.0,15,Hilcona AG,5.4652432378640174
HILLHOUSE QUARRY,6489.5,1,8.,Hillhouse Quarry Group Limited,23,0.08695652173913043,44,HILLHOUSE QUARRY GROUP LTD,8.777940765127815
HITACHI ENERGY SWEDEN,8409.9,2,17,Hitachi Energy Sweden AB,8,1.0,51,Hitachi Energy Sweden AB,9.03716486228988
HOLCIM,956845.0,1,23,Holcim,5,0.0,14,HOLCIM,13.771396692845121
HOLCIM HRVATSKA D O O,304485.6666666667,1,23,Holcim (Hrvatska) d.o.o.,4,1.0,14,Holcim (Hrvatska) d.o.o.,12.626379293321937
