country,ym,cpv_division,n,sb,ge3,sum_offers
IE,201602,37,17,8,7,40
HU,201602,42,15,9,3,27
DK,201602,44,1,0,0,2
DK,201602,70,1,0,0,2
CZ,201602,85,2,0,2,6
FI,201602,70,2,0,2,7
DE,201602,66,2,0,1,8
IT,201602,77,3,0,3,37
BE,201602,70,2,0,2,8
CH,201602,33,3,0,3,22
PT,201602,32,24,0,24,72
PT,201602,80,48,0,48,432
AT,201602,42,2,0,2,8
GR,201602,39,5,1,3,26
ES,201602,03,12,3,6,30
MT,201602,39,2,0,2,11
IT,201602,37,2,2,0,2
HR,201602,24,2,2,0,2
CY,201602,38,1,0,0,2
EE,201602,22,1,1,0,1
IT,201602,35,8,7,1,21
CY,201602,71,1,0,1,5
PL,201602,75,1,0,0,2
LV,201602,60,1,0,1,4
CY,201602,48,1,1,0,1
LV,201602,45,1,0,1,4
HR,201602,45,2,0,2,15
AT,201602,43,1,0,1,3
RO,201602,32,1,1,0,1
IT,201602,76,7,0,7,35
NO,201602,38,3,0,2,8
NO,201602,15,2,0,2,7
CH,201602,44,3,0,2,14
SK,201602,45,2,0,2,10
HR,201602,37,1,0,0,2
HU,201602,14,14,3,11,36
SK,201602,24,1,1,0,1
BE,201602,19,2,0,2,8
BE,201602,35,18,10,6,32
BE,201602,18,2,0,2,8
LV,201602,30,5,0,5,30
FI,201602,39,2,0,2,6
PL,201602,41,1,1,0,1
IT,201602,18,10,5,3,19
GR,201602,65,1,0,0,2
HR,201602,39,1,1,0,1
HU,201602,18,3,1,1,6
HU,201602,35,1,1,0,1
PT,201602,50,11,0,10,83
SI,201602,77,1,0,0,2
HR,201602,63,1,1,0,1
SI,201602,44,2,0,0,4
BG,201602,43,5,0,4,27
RO,201602,63,1,0,1,3
IE,201602,65,32,0,32,864
NO,201602,85,1,0,1,3
LU,201602,72,216,0,216,1440
LU,201602,79,24,0,24,96
BE,201602,92,24,24,0,24
LU,201602,51,1,1,0,1
HR,201602,43,2,2,0,2
